Ind,Site,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
HB_Sanikiluaq_27,B8,0.107984,0.677709,0.157094,0.0195097,1.00E-04,0.0376024
HB_Sanikiluaq_28,B8,0.0913711,0.767593,0.0774688,0.0175416,0.0187662,0.0272591
HB_Sanikiluaq_29,B8,0.10145,0.773938,0.0715725,0.0119165,0.00920771,0.0319154
HB_Sanikiluaq_30,B8,0.0993562,0.719424,0.0890277,0.021568,0.0119481,0.0586762
HB_Sanikiluaq_31,B8,0.0967233,0.746669,0.0834063,0.0109703,0.0186365,0.0435945
HB_Sanikiluaq_32,B8,0.0881821,0.786796,0.0908025,0.00640808,0.00370257,0.0241086
HB_Sanikiluaq_33,B8,0.107425,0.755411,0.0848101,0.0185889,1.00E-04,0.0336648
HB_Sanikiluaq_34,B8,1.00E-04,0.0701993,1.00E-04,1.00E-04,1.00E-04,0.929401
HB_Sanikiluaq_35,B8,1.00E-04,0.0122415,0.0120111,1.00E-04,1.00E-04,0.975447
HB_Sanikiluaq_36,B8,0.114339,0.68925,0.120626,0.000590084,0.0403659,0.0348294
HB_Sanikiluaq_37,B8,0.0843673,0.796216,0.0422023,0.0301115,0.0153298,0.031773
HB_Sanikiluaq_38,B8,0.102341,0.684279,0.137907,0.0351236,1.00E-04,0.0402498
HB_Sanikiluaq_39,B8,0.118974,0.757259,0.081755,0.0225274,1.00E-04,0.0193848
JB_Bear_Islands_1030,B10,0.140298,0.612734,0.098187,0.052349,0.0224833,0.0739487
JB_Bear_Islands_1031,B10,0.143704,0.670029,0.0471375,0.0659608,0.0198755,0.0532924
JB_Bear_Islands_1032,B10,0.16316,0.588352,0.100375,0.0550775,0.0285239,0.0645115
JB_NA_1040,B11,0.0702058,1.00E-04,0.00820168,0.0280661,1.00E-04,0.893326
JB_Pointe_de_Repentigny_971,B12,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,0.9995
JB_Pointe_de_Repentigny_975,B12,1.00E-04,1.00E-04,1.00E-04,0.0103116,1.00E-04,0.989289
JB_Pointe_de_Repentigny_1167,B12,0.0408305,0.00329728,0.0210083,0.0216172,0.012061,0.901186
JB_Pointe_de_Repentigny_1168,B12,1.00E-04,1.00E-04,1.00E-04,0.0281217,1.00E-04,0.971478
JB_Pointe_de_Repentigny_2342,B12,0.0494936,1.00E-04,1.00E-04,0.0671401,1.00E-04,0.883066
JB_Pointe_de_Repentigny_2347,B12,0.0369225,1.00E-04,1.00E-04,0.0390138,1.00E-04,0.923764
JB_Pointe_de_Repentigny_2349,B12,0.00520674,1.00E-04,0.000746982,0.0106759,1.00E-04,0.98317
JB_Pointe_de_Repentigny_2350,B12,0.0449053,0.0136571,0.0246213,0.00679883,0.0266225,0.883395
JB_Pointe_de_Repentigny_4577,B3,0.161313,0.570508,0.0919681,0.0592366,0.0285399,0.0884337
JB_Pointe_de_Repentigny_5089,B12,1.00E-04,1.00E-04,0.0265507,0.0131471,0.0236447,0.936458
NA_Iqaluit_58,B9,0.161368,0.589683,0.168537,0.0197895,0.0221106,0.0385124
NA_Iqaluit_64,B9,0.02064,1.00E-04,0.918629,0.0126967,0.0478343,1.00E-04
NA_Iqaluit_77,B9,0.0943556,0.580607,0.257867,0.0364828,0.0305884,1.00E-04
NA_Iqaluit_78,B9,0.095945,0.687209,0.163598,0.0123744,0.00126895,0.0396045
NA_Iqaluit_79,B9,0.144032,0.532652,0.285122,0.0253927,0.00959412,0.00320674
NA_Iqaluit_80,B9,0.129034,0.488797,0.27749,0.0264193,0.0283859,0.0498739
NA_Iqaluit_81,B9,0.109495,0.62252,0.219778,0.0230109,0.0250967,1.00E-04
NA_Iqaluit_82,B9,0.131956,0.541573,0.27167,1.00E-04,0.017628,0.0370731
NA_Iqaluit_83,B9,0.104505,0.673186,0.18187,0.0245635,0.00901106,0.0068643
NA_Iqaluit_84,B9,0.134885,0.449359,0.371995,0.0149247,0.0212586,0.00757787
SL_Baie_Saint_Catherine_4288,B14,1.00E-04,0.00669419,1.00E-04,0.978722,0.00560851,0.00877576
